NGC404	<b>NGC404</b>: GALXY (E0) in Andromeda<br><b>R.A.:</b> 1 9.4<br><b>Dec.:</b> +35 43<br><b>Magnitude:</b> 10.3<br><b>Surface brightness:</b> 12.8<br><b>Size:</b>  4.3 m x  3.9 m<br><b>Other catalogs:</b>  H<br><b>Dreyer code:</b> pB; cL; R; gbM<br><b>Notes:</b> H II 224; UGC 718; Beta AND sf 6'
NGC425	<b>NGC425</b>: GALXY (S pec) in Andromeda<br><b>R.A.:</b> 1 13.0<br><b>Dec.:</b> +38 46<br><b>Magnitude:</b> 12.6<br><b>Surface brightness:</b> 12.4<br><b>Size:</b>  1 m x  1 m<br><b>Dreyer code:</b> vF; vS; R; lbM; * 11 att
NGC431	<b>NGC431</b>: GALXY (SBO) in Andromeda<br><b>R.A.:</b> 1 14.1<br><b>Dec.:</b> +33 42<br><b>Magnitude:</b> 12.9<br><b>Surface brightness:</b> 12.9<br><b>Size:</b>  1.4 m x  0.9 m<br><b>Dreyer code:</b> F; S; vsbM
NGC464	<b>NGC464</b>: 2STAR in Andromeda<br><b>R.A.:</b> 1 19.4<br><b>Dec.:</b> +34 57<br><b>Dreyer code:</b> S
NGC477	<b>NGC477</b>: GALXY (SBc) in Andromeda<br><b>R.A.:</b> 1 21.3<br><b>Dec.:</b> +40 29<br><b>Magnitude:</b> 13.0<br><b>Surface brightness:</b> 13.9<br><b>Size:</b>  2.2 m x  1.2 m<br><b>Dreyer code:</b> vF; pS; vlE; vglbM<br><b>Notes:</b> H III 577; 2 main arms split into several secondary arms; UGC 886
NGC512	<b>NGC512</b>: GALXY (Sab) in Andromeda<br><b>R.A.:</b> 1 24.0<br><b>Dec.:</b> +33 54<br><b>Magnitude:</b> 13.2<br><b>Surface brightness:</b> 12.4<br><b>Size:</b>  1.6 m x  0.4 m<br><b>Dreyer code:</b> vF; vS
NGC513	<b>NGC513</b>: GALXY (Sc) in Andromeda<br><b>R.A.:</b> 1 24.4<br><b>Dec.:</b> +33 48<br><b>Magnitude:</b> 12.9<br><b>Surface brightness:</b> 11.1<br><b>Size:</b>  0.7 m x  0.3 m<br><b>Dreyer code:</b> F; S; stellar<br><b>Notes:</b> H III 169; UGC 953
NGC523	<b>NGC523</b>: GALXY (Sbc) in Andromeda<br><b>R.A.:</b> 1 25.3<br><b>Dec.:</b> +34 1<br><b>Magnitude:</b> 12.7<br><b>Surface brightness:</b> 13.2<br><b>Size:</b>  2.5 m x  0.7 m<br><b>Dreyer code:</b> Dneb; vF; vS; pos 90 deg; dist 30''<br><b>Notes:</b> H III 170?; Peculiar; UGC 979
NGC537	<b>NGC537</b>: GALXY (Sbc) in Andromeda<br><b>R.A.:</b> 1 25.3<br><b>Dec.:</b> +34 1<br><b>Magnitude:</b> 13.5<br><b>Size:</b>  2.5 m x  0.7 m<br><b>Dreyer code:</b> stellar; (=523)<br><b>Notes:</b> H III 170
NGC528	<b>NGC528</b>: GALXY (SO) in Andromeda<br><b>R.A.:</b> 1 25.6<br><b>Dec.:</b> +33 40<br><b>Magnitude:</b> 12.5<br><b>Surface brightness:</b> 13.1<br><b>Size:</b>  1.7 m x  1.1 m<br><b>Dreyer code:</b> F; pL; R; lbM
